date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:52	13484/13484	---M-Z	200	added ('OK')	text/plain	date:Tue,%2028%20Mar%202023%2018:47:51%20GMT	https://oldschool.runescape.com/robots.txt		(from )
20:47:52	27294/27294	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2018:47:51%20GMT	https://oldschool.runescape.com/	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/index.html	(from )
20:47:52	55241/55241	---M-Z	200	added ('OK')	text/css	date:Tue,%2021-Mar-2023%2018:47:02%20GMT	https://www.runescape.com/css/c/oldschool-118.css	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/css/c/oldschool-118.css	(from https://oldschool.runescape.com/)
20:47:52	25646/25646	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:44:31%20GMT	https://www.runescape.com/img/global/mobile.png?1	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/global/mobilec4ca.png	(from https://oldschool.runescape.com/)
20:47:52	565335/565335	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021-Mar-2023%2018:38:40%20GMT	https://www.runescape.com/img/rsp777/social-share-fb.jpg?1	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/social-share-fbc4ca.jpg	(from https://oldschool.runescape.com/)
20:47:53	347624/347624	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021-Mar-2023%2018:30:52%20GMT	https://www.runescape.com/img/rsp777/social-share.jpg?1	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/social-sharec4ca.jpg	(from https://oldschool.runescape.com/)
20:47:53	109152/109152	---M-Z	200	added ('OK')	application/javascript	etag:%223cf4233d995cd91:0%22	https://consent.cookiebot.com/uc.js	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/consent.cookiebot.com/uc.js	(from https://oldschool.runescape.com/)
20:47:53	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2028%20Mar%202023%2018:47:53%20GMT	https://oldschool.runescape.com/download	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/download	(from https://oldschool.runescape.com/)
20:47:54	20353/20353	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2018:47:54%20GMT	https://oldschool.runescape.com/launcher	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/launcher.html	(from https://oldschool.runescape.com/)
20:47:54	212690/212690	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2018:47:54%20GMT	https://oldschool.runescape.com/slu	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/slu.html	(from https://oldschool.runescape.com/)
20:47:55	15924/15924	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2018:47:54%20GMT	https://oldschool.runescape.com/mobile	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/mobile.html	(from https://oldschool.runescape.com/)
20:47:55	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2028%20Mar%202023%2018:47:55%20GMT	https://oldschool.runescape.com/game-status	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/game-status	(from https://oldschool.runescape.com/)
20:47:55	138/138	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2028%20Mar%202023%2018:47:55%20GMT	https://oldschool.runescape.com/poll-charter	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/poll-charter	(from https://oldschool.runescape.com/)
20:47:55	8036/8036	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2018:47:55%20GMT	https://oldschool.runescape.com/game?world=316	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/game9ac1.html	(from https://oldschool.runescape.com/)
20:47:56	8036/8036	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2018:47:56%20GMT	https://oldschool.runescape.com/game?world=520	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/oldschool.runescape.com/gamef5d8.html	(from https://oldschool.runescape.com/)
20:47:56	107104/107104	---M-Z	200	added ('OK')	image/png	etag:%221679584983%22	https://cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-27/Thumbnail_asdf.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-27/Thumbnail_asdf.png	(from https://oldschool.runescape.com/)
20:47:56	116360/116360	---M-Z	200	added ('OK')	image/png	etag:%221679583036%22	https://cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-24/Thumbnail_Gnomes.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-24/Thumbnail_Gnomes.png	(from https://oldschool.runescape.com/)
20:47:56	114950/114950	---M-Z	200	added ('OK')	image/png	etag:%221679565699%22	https://cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-23/thumbnail.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-23/thumbnail.png	(from https://oldschool.runescape.com/)
20:47:56	66695/66695	---M-Z	200	added ('OK')	image/png	etag:%221679478208%22	https://cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-22/thumbnailqsr.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-22/thumbnailqsr.png	(from https://oldschool.runescape.com/)
20:47:57	80903/80903	---M-Z	200	added ('OK')	image/png	etag:%221679052287%22	https://cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-17/Server_Thumbnail.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/cdn.runescape.com/assets/img/external/oldschool/2023/newsposts/2023-03-17/Server_Thumbnail.png	(from https://oldschool.runescape.com/)
20:47:57	484196/484196	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2021-Mar-2023%2018:35:50%20GMT	https://www.runescape.com/js/c/responsive/vendor-161.js	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/js/c/responsive/vendor-161.js	(from https://oldschool.runescape.com/)
20:47:57	19143/19143	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2021-Mar-2023%2018:34:17%20GMT	https://www.runescape.com/js/c/rs3/modernizr_3_0_0_min-160.js	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/js/c/rs3/modernizr_3_0_0_min-160.js	(from https://oldschool.runescape.com/)
20:47:57	28066/28066	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2021-Mar-2023%2018:40:25%20GMT	https://www.runescape.com/js/osrs/plugins-153.js	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/js/osrs/plugins-153.js	(from https://oldschool.runescape.com/)
20:47:58	1422/1422	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2021-Mar-2023%2018:33:12%20GMT	https://www.runescape.com/js/osrs/gtm-153.js	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/js/osrs/gtm-153.js	(from https://oldschool.runescape.com/)
20:47:58	767/767	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2021-Mar-2023%2018:41:53%20GMT	https://www.runescape.com/js/jagex_global-101.js	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/js/jagex_global-101.js	(from https://oldschool.runescape.com/)
20:47:58	8447/8447	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2021-Mar-2023%2018:39:46%20GMT	https://www.runescape.com/js/c/os/functions-153.js	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/js/c/os/functions-153.js	(from https://oldschool.runescape.com/)
20:47:58	30619/30619	---M--	200	added ('OK')	image/jpeg	date:Tue,%2021-Mar-2023%2018:38:44%20GMT	https://www.runescape.com/img/rsp777/bg2.jpg	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/bg2.jpg	(from https://www.runescape.com/css/c/oldschool-118.css)
20:47:59	26659/26659	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:37:31%20GMT	https://www.runescape.com/img/rsp777/title2/rslogo3.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/title2/rslogo3.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:47:59	87485/87485	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:40:25%20GMT	https://www.runescape.com/img/rsp777/scroll/backdrop_745.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/scroll/backdrop_745.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:47:59	11449/11449	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:40:53%20GMT	https://www.runescape.com/img/rsp777/scroll/backdrop_765_top.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/scroll/backdrop_765_top.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:47:59	11436/11436	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:40:59%20GMT	https://www.runescape.com/img/rsp777/scroll/backdrop_765_bottom.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/scroll/backdrop_765_bottom.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:47:59	2164/2164	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:34:17%20GMT	https://www.runescape.com/img/rsp777/rss.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/rss.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:00	1473/1473	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:33:39%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/smallArrowLeft.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/smallArrowLeft.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:00	1478/1478	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:32:25%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/smallArrowRight.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/smallArrowRight.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:00	723/723	---MCZ	404	error ('Not%20found')	text/html	date:Tue,%2028%20Mar%202023%2018:48:00%20GMT	https://www.runescape.com/img/rsp777/hiscores/pagination.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/hiscores/pagination.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:00	12629/12629	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:40:23%20GMT	https://www.runescape.com/img/rsp777/splash/compare_users.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/splash/compare_users.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:01	31770/31770	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:42:22%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/title.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/title.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:01	63701/63701	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:33:39%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/Scroll-Middle.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/Scroll-Middle.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:01	9804/9804	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:33:39%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/Scroll-Top.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/Scroll-Top.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:01	9771/9771	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:33:39%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/Scroll-Bottom.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/Scroll-Bottom.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:01	2039/2039	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:37:33%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/members.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/members.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:02	1875/1875	---M--	200	added ('OK')	image/png	date:Tue,%2021-Mar-2023%2018:32:48%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/coin.png	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/coin.png	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:02	1494/1494	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:38:45%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/no_change.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/no_change.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
20:48:02	1576/1576	---M--	200	added ('OK')	image/gif	date:Tue,%2021-Mar-2023%2018:44:46%20GMT	https://www.runescape.com/img/rsp777/grand_exchange/positive.gif	C:/Users/maurice.vandorst/Downloads/RSPS/OSRS%20Website/www.runescape.com/img/rsp777/grand_exchange/positive.gif	(from https://www.runescape.com/css/c/oldschool-118.css)
